seq_len,pack,score_z,score,delta_ppl,delta_nll,delta_nll_p,cc_delta_pp,cc_delta_ci_lo,cc_delta_ci_hi,js2d,mean_p_drop_pp,cc_z,cc_p
1024,reasoning_style_10k_v2,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.001744,+0.001744,0.000000,+0.0000,0.0000,1.000000e+00
1024,tool_agentic_10k_v6,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.001861,+0.001861,0.000000,+0.0000,0.0000,1.000000e+00
1024,calib_prompt_10000_v2,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.002281,+0.002281,0.000000,+0.0000,0.0000,1.000000e+00
1024,UNION,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.002159,+0.002159,0.000000,+0.0000,0.0000,1.000000e+00
2048,reasoning_style_10k_v2,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.000963,+0.000963,0.000000,+0.0000,0.0000,1.000000e+00
2048,tool_agentic_10k_v6,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.001631,+0.001631,0.000000,+0.0000,0.0000,1.000000e+00
2048,calib_prompt_10000_v2,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.000255,+0.000255,0.000000,+0.0000,0.0000,1.000000e+00
2048,UNION,0.000,0.000,+0.000000,+0.000000,1.000000e+00,+0.0000,-0.001033,+0.001033,0.000000,+0.0000,0.0000,1.000000e+00
