seq_len,pack,score_z,score,delta_ppl,delta_nll,delta_nll_p,cc_delta_pp,cc_delta_ci_lo,cc_delta_ci_hi,js2d,mean_p_drop_pp,cc_z,cc_p
1024,tool_agentic_10k_v6,1.690,6.533,+4.237532,+0.570309,2.273570e-11,+1.7577,+0.011526,+0.023628,0.365036,+2.8819,5.6715,1.415648e-08
1024,calib_prompt_10000_v2,-0.212,-0.818,-0.284898,-0.054175,2.740672e-01,+0.7455,+0.003958,+0.010952,0.314986,-3.6910,4.1738,2.996174e-05
1024,UNION,-0.691,-2.670,-0.445064,-0.079742,4.276683e-02,+0.1396,-0.000968,+0.003760,0.263492,-2.8985,1.1571,2.472209e-01
1024,reasoning_style_10k_v2,-0.788,-3.045,-0.525234,-0.096408,8.915448e-03,+0.1733,-0.000288,+0.003754,0.251553,-3.2257,1.6803,9.289265e-02
2048,tool_agentic_10k_v6,1.694,6.724,+4.749986,+0.608988,1.764157e-22,+1.7544,+0.013190,+0.021898,0.291359,+2.0181,7.8677,3.613520e-15
2048,UNION,-0.243,-0.964,+0.029500,+0.006377,8.285238e-01,+0.7075,+0.005119,+0.009030,0.199119,-3.3526,7.0826,1.414685e-12
2048,calib_prompt_10000_v2,-0.635,-2.519,-0.247160,-0.065483,1.470192e-02,+0.1104,+0.000430,+0.001778,0.183971,-3.8577,3.2082,1.335836e-03
2048,reasoning_style_10k_v2,-0.817,-3.241,-0.649575,-0.150642,2.712515e-10,+0.2473,+0.001195,+0.003751,0.169213,-5.0546,3.7923,1.492435e-04
